src_file,category,dst_file
tests/pass/threadleak_ignored.rs,Exit 1,
tests/pass/dst-irrefutable-bind.rs,Exit 0,miri-tests/pass/dst-irrefutable-bind.rs
tests/pass/rust-lang-org.rs,Exit 0,miri-tests/pass/rust-lang-org.rs
tests/pass/option_eq.rs,Exit 0,miri-tests/pass/option_eq.rs
tests/pass/align.rs,Other UB,
tests/pass/stacked_borrows/stack-printing.rs,Excluded,
tests/pass/integer-ops.rs,Exit 1,
tests/pass/adjacent-allocs.rs,Exit 0,miri-tests/pass/adjacent-allocs.rs
tests/pass/heap_allocator.rs,Exit 0,miri-tests/pass/heap_allocator.rs
tests/pass/iter_macro.rs,Exit 0,miri-tests/pass/iter_macro.rs
tests/pass/box.rs,Exit 0,miri-tests/pass/box.rs
tests/pass/try-operator-custom.rs,Exit 0,miri-tests/pass/try-operator-custom.rs
tests/pass/write-bytes.rs,Exit 0,miri-tests/pass/write-bytes.rs
tests/pass/align_repeat_into_packed_field.rs,Exit 0,miri-tests/pass/align_repeat_into_packed_field.rs
tests/pass/zero-sized-accesses-and-offsets.rs,Exit 0,miri-tests/pass/zero-sized-accesses-and-offsets.rs
tests/pass/closure-field-ty.rs,Exit 0,miri-tests/pass/closure-field-ty.rs
tests/pass/function_calls/return_place_on_heap.rs,Exit 0,miri-tests/pass/function_calls/return_place_on_heap.rs
tests/pass/backtrace/backtrace-global-alloc.rs,Exit 0,miri-tests/pass/backtrace/backtrace-global-alloc.rs
tests/pass/function_calls/exported_symbol_weak.rs,Exit 0,miri-tests/pass/function_calls/exported_symbol_weak.rs
tests/pass/move-arg-2-unique.rs,Exit 0,miri-tests/pass/move-arg-2-unique.rs
tests/pass/function_calls/exported_symbol.rs,Exit 0,miri-tests/pass/function_calls/exported_symbol.rs
tests/pass/overlapping_assignment_aggregate_scalar.rs,Exit 0,miri-tests/pass/overlapping_assignment_aggregate_scalar.rs
tests/pass/concurrency/sync_singlethread.rs,Exit 0,miri-tests/pass/concurrency/sync_singlethread.rs
tests/pass/function_calls/tail_call.rs,Exit 0,miri-tests/pass/function_calls/tail_call.rs
tests/pass/shims/fs.rs,Excluded,
tests/pass/backtrace/backtrace-std.rs,Exit 0,miri-tests/pass/backtrace/backtrace-std.rs
tests/pass/concurrency/issue-miri-4655-mix-atomic-nonatomic.rs,Exit 0,miri-tests/pass/concurrency/issue-miri-4655-mix-atomic-nonatomic.rs
tests/pass/function_calls/abi_compat.rs,Exit 0,miri-tests/pass/function_calls/abi_compat.rs
tests/pass/shims/windows-threadname.rs,Excluded,
tests/pass/shims/fs-symlink.rs,Excluded,
tests/pass/concurrency/thread_park_isolated.rs,Exit 0,miri-tests/pass/concurrency/thread_park_isolated.rs
tests/pass/concurrency/threadname.rs,Exit 0,miri-tests/pass/concurrency/threadname.rs
tests/pass/concurrency/scope.rs,Exit 0,miri-tests/pass/concurrency/scope.rs
tests/pass/shims/windows-rand.rs,Excluded,
tests/pass/tree_borrows/cell-alternate-writes.rs,Excluded,
tests/pass/concurrency/simple.rs,Exit 0,miri-tests/pass/concurrency/simple.rs
tests/pass/tree_borrows/reborrow-is-read.rs,Excluded,
tests/pass/tree_borrows/formatting.rs,Excluded,
tests/pass/tree_borrows/reserved.rs,Excluded,
tests/pass/stacked_borrows/coroutine-self-referential.rs,Exit 0,miri-tests/pass/stacked_borrows/coroutine-self-referential.rs
tests/pass/tree_borrows/cell-inside-box.rs,Excluded,
tests/pass/concurrency/issue-miri-1643.rs,Exit 0,miri-tests/pass/concurrency/issue-miri-1643.rs
tests/pass/tree_borrows/spurious_read.rs,Excluded,
tests/pass/tree_borrows/end-of-protector.rs,Excluded,
tests/pass/concurrency/concurrent_caller_location.rs,Exit 0,miri-tests/pass/concurrency/concurrent_caller_location.rs
tests/pass/tree_borrows/cell-inside-struct.rs,Excluded,
tests/pass/concurrency/spin_loop.rs,Exit 0,miri-tests/pass/concurrency/spin_loop.rs
tests/pass/tree_borrows/read_retag_no_race.rs,Excluded,
tests/pass/panic/unwind_dwarf.rs,Excluded,
tests/pass/concurrency/mutex_leak.rs,Exit 0,miri-tests/pass/concurrency/mutex_leak.rs
tests/pass/concurrency/channels.rs,Exit 0,miri-tests/pass/concurrency/channels.rs
tests/pass/stacked_borrows/zst-field-retagging-terminates.rs,Exit 0,miri-tests/pass/stacked_borrows/zst-field-retagging-terminates.rs
tests/pass/panic/concurrent-panic.rs,Excluded,
